Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2
1889 Project PAC,03/26/2026 to 05/05/2026,C6,2026-05-05 0:00:00,Montana Freedom Caucus,,,,PO Box 80086,Billings,MT,59108,,200,2,Donation to the organization,,PM,,,,N,,,,,,,,,
1889 Project PAC,01/01/2026 to 03/25/2026,C6,2026-01-26 0:00:00,Accountability in State Government pac,,,,PO Box 1181,Lewistown,MT,59457,,2000,2,Expenditures,,PM,,,,N,,,,,,,,,
1889 Project PAC,01/01/2026 to 03/25/2026,C6,2026-01-16 0:00:00,Accountability in State Government pac,,,,PO Box 1181,Lewistown,MT,594557,,30000,2,Expenditures,,PM,,,,N,,,,,,,,,
1889 Project PAC,01/01/2026 to 03/25/2026,C6,2026-01-16 0:00:00,Montana Freedom Caucus,,,,PO Box 80086,Billings,MT,59108,,10000,2,Expenditures,,PM,,,,N,,,,,,,,,
1889 Project PAC,10/01/2025 to 12/31/2025,C6,2025-12-30 0:00:00,Art Outdoor,,,,623 Mountain View Dr,Bozeman,MT,59718,,3700,3,"Billboard subpoort Zack Wirth for senate district 9,  ""Montana Grit"" ",Candidate Zack Wirth SD9,PM,Billboard north of Conrad MT,1,Billboard for January - May 2026,N,,,,,,,,,
1889 Project PAC,10/01/2025 to 12/31/2025,C6,2025-12-30 0:00:00,Art Outdoor,,,,623 Mountain View Dr,Bozeman,MT,59718,,4150,3,"Billboard to support Rep. Jane Gillette ""Jane gets it done"" Border Security. ",Rep. Jane Gillette,PM,Billboard outside of Three Forks MT,1,Billboard for January - May 2026,N,,,,,,,,,
1972 PAC,04/01/2026 to 04/25/2026,C6,2026-04-01 0:00:00,USPS Bozeman,,,,32 E Babcock St,Bozeman,MT,59715,,162.67,2,PO Box 1105,,PM,,April 1-November 30,,N,,,,,,,,,
A Better Big Sky,01/01/2026 to 03/25/2026,C4,2026-03-17 0:00:00,Montanans for Nonpartisan Courts,,,,PO Box 87,Helena,MT,59624,,250000,2,Ballot initiative work,,GN,,,,N,,,,,,,,,
Ability Montana,04/10/2026 to 04/10/2026,C4,2026-04-10 0:00:00,Ability Montana,,,,825 Great Northern Blvd ste 105,Helena,MT,59601,,1000,2,Tickets to the Mansfield Metcalf Dinner,,GN,Dinner at the Fair Grounds in Helena,"3 hours, met candidates and educated them on issues involving Montanaa's with disablities",Meet and Greet - Provided Education on issuses involving people with disabilities,N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-21 0:00:00,FACEBOOK,,,,1 Hacker Way,Menlo Park,CA,94025,,11.99,3,Facebook monthly registration fee,,PM,,,,N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-17 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,3974.1,3,"Support, Lenz has conservative values.",Lenz SD25,PM,Mailer-SD25,"SD25-5000 printed, 3926 mailed & postage.","Design, Printing, Postage",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-17 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,3743.31,3,Conflict of interest Jones and taxpayers loans. Jones SD9,,PM,Mailer-SD9,"SD9-4251 printed, 4251 mailed & postage.","Design, Printing, Postage",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-17 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,3864.26,3,"Eric Albus Voted to send tax dollars to DEI, notepad. ",,PM,Mailer-SD14,"SD14-3637 printed, 3637 printed & postage.","Design, Printing, Postage",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-17 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,2530.2,3,"Jennifer Carlson Voted to send tax dollars to DEI, notepad.",,PM,Mailer-HD68,"HD68-2500 printed, 1872 mailed & postage.","Design, Printing, Postage",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-17 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,2991.08,3,"Ed Buttery Voted to send tax dollars to DEI, notepad.",,PM,Mailer-SD11,"SD11-2746 printed, 2746 mailed & postage.","Design, Printing, Postage",N,,,,,,,,,
