Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2,Matched Candidate,Matched District,Matched Party,Matched Race
1889 Project PAC,10/01/2025 to 12/31/2025,C6,2025-12-30 0:00:00,Art Outdoor,,,,623 Mountain View Dr,Bozeman,MT,59718,,3700,3,"Billboard subpoort Zack Wirth for senate district 9,  ""Montana Grit"" ",Candidate Zack Wirth SD9,PM,Billboard north of Conrad MT,1,Billboard for January - May 2026,N,,,,,,,,,,ZACK WIRTH,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-17 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,3974.1,3,"Support, Lenz has conservative values.",Lenz SD25,PM,Mailer-SD25,"SD25-5000 printed, 3926 mailed & postage.","Design, Printing, Postage",N,,,,,,,,,,DENNIS LENZ,SENATE DISTRICT 25,REP,STATE SENATOR DISTRICT 25
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,8061.95,3,Vote to raise gas tax mailer Jones SD9 $4087.85; Positive mailer Lentz SD25 $3974.10,Jones SD9; Lentz SD25,PM,Postcard Mailer,"(Jones 5000 printed, 4251 mailed & postage) (Lentz 5000 printed, 3926 mailed & postage)","Design, Printing, Postage",N,,,,,,,,,,LLEW JONES | DENNIS LENZ,SENATE DISTRICT 9 | SENATE DISTRICT 25,REP | REP,STATE SENATOR DISTRICT 9 | STATE SENATOR DISTRICT 25
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,9229.45,3,Positive mailer Warden HD13 $2570.10; Votes on DEI Bedey SD43 $4129.15; Positive mailer Chamberlin HD68 $2530.20,Warden HD13; Bedey SD43; Chamberlin HD68,PM,Postcard Mailer,"(Warden HD13 2500 printed, 1986 mailed & postage) (Bedey SD43 5000 printed, 4369 mailed & postage) (Chamberlin 2500 printed, 1872 mailed & postage)","Design, Printing, Postage",N,,,,,,,,,,FINLEY WARDEN | DAVID BEDEY | RANDY CHAMBERLIN,HOUSE DISTRICT 13 | SENATE DISTRICT 43 | HOUSE DISTRICT 68,REP | REP | REP,STATE REPRESENTATIVE DISTRICT 13 | STATE SENATOR DISTRICT 43 | STATE REPRESENTATIVE DISTRICT 68
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,46340.99,3,"Video explaining Llew Jones vote for tax dollars to DEI initiatives, queer history panel, sex changes",Jones SD9,PM,Streaming-SD9,"SD9-Great Falls & Helena, 990,500 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,,LLEW JONES,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,39826.23,3,"Video explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,Streaming-SD11,"SD11-Great Falls, 864,360 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,,ED BUTTREY,SENATE DISTRICT 11,REP,STATE SENATOR DISTRICT 11
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,23920.54,3,"Video explaining Jennifer Carlson's vote for tax dollars to fund groups that hosted, Transgender art projects, hosted workshop on queer history.",Carlson HD 68,PM,Streaming-HD68,"HD68-Butte & Bozeman, 447,720 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,,JENNIFER CARLSON,HOUSE DISTRICT 68,REP,STATE REPRESENTATIVE DISTRICT 68
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,37733.9,3,"Video explaining Eric Albus vote for tax dollars to fund DEI and gender neutral pronouns, Transgender art projects, hosted workshop on queer history.",Albus SD14,PM,Streaming-SD14,"SD14-Great Falls, 916,895 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,,ERIC ALBUS,SENATE DISTRICT 14,REP,STATE SENATOR DISTRICT 14
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,40616,3,"Radio ads explaining Llew Jones vote for tax dollars to DEI initiatives, queer history panel, sex changes",Jones SD9,PM,Radio Media Buy-SD9,"SD9-Shelby & Rural, 240 broadcast spots, April 22-May 19","Design, Production, Ad Placement",N,,,,,,,,,,LLEW JONES,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,77950,3,"Video explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,TV Media Buy-SD11,"SD11-Great Falls, 2000 Gross Rating Points, April 22-May 19","Design, Production, Ad Placement",N,,,,,,,,,,ED BUTTREY,SENATE DISTRICT 11,REP,STATE SENATOR DISTRICT 11
