Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2,Matched Candidate,Matched District,Matched Party,Matched Race
Conservatives4MT,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,Lamar,,,,7505 Entryway Drive,Billings,MT,59101,,6696,3,BILLBOARD FEE,Brad Baker,PM,Billboards - Rockvale,2months,Billboard advertising,N,,,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
Conservatives4MT,,,,,,,,,,,,,24358.48,,,,,,,,,,,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
Conservatives4MT,,,,,,,,,,,,,3373.30,,,,,,,,,,,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
Conservatives4MT,,,,,,,,,,,,,3373.30,,,,,,,,,,,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
Conservatives4MT,,,,,,,,,,,,,5084.31,,,,,,,,,,,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
Conservatives4MT,,,,,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
Conservatives4MT,,,,,,,,,,,,,49252.00,,,,,,,,,,,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
Montana Business PAC,01/01/2026 to 03/25/2026,C6,2026-01-16 0:00:00,,Chad,,Bayer,2210 Burlington Ave,Missoula,MT,59801,5253,50,2,Event Prize,Chad Bayer,PM,,,,N,,,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-24 0:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2552,3,Mail production/postage,Oppose Brad Barker,PM,mail,2387,mail production/postage,N,,,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-21 0:00:00,Whistlestop Strategies LLC,,,,"100 Coastal Drive, Suite 305",Charleston,SC,29492,,2552,3,Mail production/postage,Oppose Brad Barker,PM,Mail,2387,mail production/postage,N,,,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
