Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2,Matched Candidate,Matched District,Matched Party,Matched Race
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,9229.45,3,Positive mailer Warden HD13 $2570.10; Votes on DEI Bedey SD43 $4129.15; Positive mailer Chamberlin HD68 $2530.20,Warden HD13; Bedey SD43; Chamberlin HD68,PM,Postcard Mailer,"(Warden HD13 2500 printed, 1986 mailed & postage) (Bedey SD43 5000 printed, 4369 mailed & postage) (Chamberlin 2500 printed, 1872 mailed & postage)","Design, Printing, Postage",N,,,,,,,,,,FINLEY WARDEN | DAVID BEDEY | RANDY CHAMBERLIN,HOUSE DISTRICT 13 | SENATE DISTRICT 43 | HOUSE DISTRICT 68,REP | REP | REP,STATE REPRESENTATIVE DISTRICT 13 | STATE SENATOR DISTRICT 43 | STATE REPRESENTATIVE DISTRICT 68
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,58471.76,3,"Video explaining David Bedey's vote for tax dollars to fund DEI, Transgender art projects, queer panel, Obamacare that funds transgender services.",Bedey SD43,PM,Streaming-SD43,"SD43-Missoula, 1,291,248 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,,DAVID BEDEY,SENATE DISTRICT 43,REP,STATE SENATOR DISTRICT 43
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-13 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,10984.49,3,(Voting record DEI SD43 $4129.25) (Voting record DEI SD14 $3864.26) (Voting record DEI SD11 $2991.08),Bedey SD43; Albus SD14; Buttrey SD11,PM,Mailer,"(5000 printed SD43, 4369 mailed & postage) (3637 printed SD14, 3637 mailed & postage) (2746 printed SD11, 2746 mailed & postage)","Design, Printing & Postage",N,,,,,,,,,,DAVID BEDEY | ERIC ALBUS | ED BUTTREY,SENATE DISTRICT 43 | SENATE DISTRICT 14 | SENATE DISTRICT 11,REP | REP | REP,STATE SENATOR DISTRICT 43 | STATE SENATOR DISTRICT 14 | STATE SENATOR DISTRICT 11
Conservatives4MT,,,,,,,,,,,,,43342.05,,,,,,,,,,,,,,,,,,DAVID BEDEY,SENATE DISTRICT 43,REP,STATE SENATOR DISTRICT 43
Conservatives4MT,,,,,,,,,,,,,6479.13,,,,,,,,,,,,,,,,,,DAVID BEDEY,SENATE DISTRICT 43,REP,STATE SENATOR DISTRICT 43
Conservatives4MT,,,,,,,,,,,,,6479.13,,,,,,,,,,,,,,,,,,DAVID BEDEY,SENATE DISTRICT 43,REP,STATE SENATOR DISTRICT 43
Conservatives4MT,,,,,,,,,,,,,8868.62,,,,,,,,,,,,,,,,,,DAVID BEDEY,SENATE DISTRICT 43,REP,STATE SENATOR DISTRICT 43
Conservatives4MT,,,,,,,,,,,,,3000.00,,,,,,,,,,,,,,,,,,DAVID BEDEY,SENATE DISTRICT 43,REP,STATE SENATOR DISTRICT 43
Conservatives4MT,,,,,,,,,,,,,57273.00,,,,,,,,,,,,,,,,,,DAVID BEDEY,SENATE DISTRICT 43,REP,STATE SENATOR DISTRICT 43
Convention of States Action,04/26/2026 to 05/24/2026,C4,2026-05-20 0:00:00,Convention of States Action - Staff,,,,"5850 San Felipe, Ste. 580A",Houston,TX,77057,,5.91,3,Staff compensation,Buttrey; Bedey; Rusk; Binkley; Nelson; Lenz; Sprunger; Tilleman; Moore; Charbonneau; Caldwell,PM,,,Staff compensation for various communications,N,,,,,,,,,,ED BUTTREY | DAVID BEDEY | WAYNE RUSK | MICHELE BINKLEY | DENNIS LENZ | COURTENAY SPRUNGER | ERIC TILLEMAN | VALERIE MOORE | TROY CHARBONNEAU | ROY CALDWELL,SENATE DISTRICT 11 | SENATE DISTRICT 43 | HOUSE DISTRICT 86 | HOUSE DISTRICT 85 | SENATE DISTRICT 25 | HOUSE DISTRICT 7 | HOUSE DISTRICT 23 | HOUSE DISTRICT 29 | HOUSE DISTRICT 53 | HOUSE DISTRICT 84,REP | REP | REP | REP | REP | REP | REP | REP | REP | REP,STATE SENATOR DISTRICT 11 | STATE SENATOR DISTRICT 43 | STATE REPRESENTATIVE DISTRICT 86 | STATE REPRESENTATIVE DISTRICT 85 | STATE SENATOR DISTRICT 25 | STATE REPRESENTATIVE DISTRICT 7 | STATE REPRESENTATIVE DISTRICT 23 | STATE REPRESENTATIVE DISTRICT 29 | STATE REPRESENTATIVE DISTRICT 53 | STATE REPRESENTATIVE DISTRICT 84
