Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-07 00:00:00,SFF Buying LLC,,,,"3900 Teleport Blvd, #140053",Irving,TX,75014,,6566.7,3,Radio Advertising,Support Trevor Walker,PM,Radio,,Radio Advertising,N,,,,,,,,ED WALKER,HOUSE DISTRICT 52,REP,STATE REPRESENTATIVE DISTRICT 52
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-07 00:00:00,SFF Buying LLC,,,,"3900 Teleport Blvd, #140053",Irving,TX,75014,,3181.32,3,Radio Advertising,Support Ed Walker,PM,Radio,,Radio Advertising,N,,,,,,,,ED WALKER,HOUSE DISTRICT 52,REP,STATE REPRESENTATIVE DISTRICT 52
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-05 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2928.0,3,Mail production/postage,Support Ed Walker,PM,Mail,2200,mail production/postage,N,,,,,,,,ED WALKER,HOUSE DISTRICT 52,REP,STATE REPRESENTATIVE DISTRICT 52
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-14 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2928.0,3,Mail production/postage,Support Ed Walker,PM,Mail,2200,mail production/postage,N,,,,,,,,ED WALKER,HOUSE DISTRICT 52,REP,STATE REPRESENTATIVE DISTRICT 52
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-19 00:00:00,Darby House LLC,,,,"4201 Wilson Blvd, Suite 110-126",Arlington,VA,22203,,2500.0,3,Digital Ad Production,Support Ed Walker,PM,digital,,digital ad production,N,,,,,,,,ED WALKER,HOUSE DISTRICT 52,REP,STATE REPRESENTATIVE DISTRICT 52
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,13450.0,3,Online Advertising,Support Ed Walker,PM,Google,,online advertising,N,,,,,,,,ED WALKER,HOUSE DISTRICT 52,REP,STATE REPRESENTATIVE DISTRICT 52
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,i360,,,,"2300 Clarendon Blvd, Suite 800",Arlington,VA,22203,,15.0,3,Data,Support Ed Walker,PM,,,data,N,,,,,,,,ED WALKER,HOUSE DISTRICT 52,REP,STATE REPRESENTATIVE DISTRICT 52
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-19 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2928.0,3,Mail production/postage,Support Ed Walker,PM,Mail,2200,mail production/postage,N,,,,,,,,ED WALKER,HOUSE DISTRICT 52,REP,STATE REPRESENTATIVE DISTRICT 52
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Drogin Group,,,,6705 W Hwy 290 Suite 50281,Austin,TX,78735,,1800.0,3,website production/hosting,Support Edward Walker,PM,online,,website production/hosting,N,,,,,,,,ED WALKER,HOUSE DISTRICT 52,REP,STATE REPRESENTATIVE DISTRICT 52
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Meta,,,,1601 Willow Road,Menlo Park,CA,94025,,500.0,3,Digital Advertising,Support Ed Walker,PM,Facebook,,Digital advertising,N,,,,,,,,ED WALKER,HOUSE DISTRICT 52,REP,STATE REPRESENTATIVE DISTRICT 52
