Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2,Matched Candidate,Matched District,Matched Party,Matched Race
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-05-16 0:00:00,AMERICANS FOR PROSPERITY,,,,"4201 WILSON BLVD, STE 1000",ARLINGTON,VA,22203,,598.03,3,Canvassing,LINDA HARMON (HD-29),PM,DOORKNOCKING,5/16/26-5/24/26,CANVASSING,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-05-07 0:00:00,UNITED STATES POSTAL SERVICE,,,,470 L'ENFANT PLAZA SW STE 604,WASHINGTON,DC,20024,,413.79,3,Mailer,LINDA HARMON (HD-29),PM,,"2,515",MAILER POSTAGE,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-05-07 0:00:00,FCG MAIL LLC,,,,558 E CASTLE PINES PKWY STE B-4 BOX 333,CASTLE PINES,CO,80108,,1768.45,3,Mailer,LINDA HARMON (HD-29),PM,,"2,515","MAILER DESIGN, PRINTING & PRODUCTION",N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-05-01 0:00:00,AMERICANS FOR PROSPERITY,,,,"4201 WILSON BLVD, STE 1000",ARLINGTON,VA,22203,,1055.58,3,Canvassing,LINDA HARMON (HD-29),PM,DOORKNOCKING,5/1/26-5/15/26,CANVASSING,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-04-26 0:00:00,CANVASS AMERICA,,,,"45 N HILL DR, STE 100",WARRENTON,VA,20186,,950,3,Canvassing,LINDA HARMON (HD-29),PM,DOORKNOCKING,4/26/26-5/24/26,CANVASSING,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-04-26 0:00:00,AMERICANS FOR PROSPERITY,,,,4201 WILSON BLVD,ARLINGTON,VA,22203,,173.39,3,Canvassing,LINDA HARMON (HD-29),PM,DOORKNOCKING,4/26/26-4/30/26,CANVASSING,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-04-24 0:00:00,UNITED STATES POSTAL SERVICE,,,,470 L'ENFANT PLAZA SW STE 604,WASHINGTON,DC,20024,,413.79,3,Mailer,LINDA HARMON (HD-29),PM,,"2,515",MAILER POSTAGE,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-04-24 0:00:00,FCG MAIL LLC,,,,558 E CASTLE PINES PKWY STE B-4 BOX 333,CASTLE PINES,CO,80108,,1775.5,3,Mailer,LINDA HARMON (HD-29),PM,,"2,515","MAILER DESIGN, PRINTING, AND PRODUCTION",N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-04-16 0:00:00,AMERICANS FOR PROSPERITY,,,,4201 WILSON BLVD STE 1000,ARLINGTON,VA,22203,,346.79,3,Canvassing,LINDA HARMON (HD-29),PM,DOORKNOCKING,4/16/26-4/25/26,DOORKNOCKING,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-04-07 0:00:00,UNITED STATES POSTAL SERVICE,,,,470 L'ENFANT PLAZA SW STE 604,WASHINGTON,DC,20024,,413.79,3,Mailer,LINDA HARMON (HD-29),PM,,"2,515",MAILER POSTAGE,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-04-07 0:00:00,FCG MAIL LLC,,,,558 E CASTLE PINES PKWY STE B-4 BOX 333,CASTLE PINES,CO,80108,,1763.96,3,Mailer,LINDA HARMON (HD-29),PM,,"2,515","MAILER DESIGN, PRINTING, AND PRODUCTION",N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-04-01 0:00:00,AMERICANS FOR PROSPERITY,,,,4201 WILSON BLVD STE 1000,ARLINGTON,VA,22203,,520.19,3,Canvassing,LINDA HARMON (HD-29),PM,DOORKNOCKING,4/1/26-4/15/26,DOORKNOCKING,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-03-26 0:00:00,CANVASS AMERICA,,,,"45 N HILL DR, STE 100",WARRENTON,VA,20186,,852,3,Canvassing,LINDA HARMON (HD-29),PM,DOORKNOCKING,3/26/26-4/25/26,DOORKNOCKING,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-03-26 0:00:00,AMERICANS FOR PROSPERITY,,,,4201 WILSON BLVD STE 1000,ARLINGTON,VA,22203,,97.53,3,Canvassing,LINDA HARMON (HD-29),PM,DOORKNOCKING,3/26/26-3/31/26,DOORKNOCKING,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,03/26/2026 to 04/25/2026,C4,2026-03-26 0:00:00,AMERICANS FOR PROSPERITY,,,,4201 WILSON BLVD STE 1000,ARLINGTON,VA,22203,,250,3,Canvassing,LINDA HARMON (HD-29),PM,PHONE CALLS,3/26/26-4/25/26,PHONE CALLS,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,02/06/2026 to 03/25/2026,C4,2026-03-16 0:00:00,AMERICANS FOR PROSPERITY,,,,4201 WILSON BLVD STE 1000,ARLINGTON,VA,22203,,162.56,3,Canvassing,LINDA HARMON (HD-29),PM,DOORKNOCKING,3/16/26-3/25/26,DOORKNOCKING,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
AMERICANS FOR PROSPERITY - MONTANA,02/06/2026 to 03/25/2026,C4,2026-03-12 0:00:00,UNITED STATES POSTAL SERVICE,,,,470 L'ENFANT PLAZA SW STE 604,WASHINGTON,DC,20024,,413.79,3,Mailer,LINDA HARMON (HD-29),PM,,"2,515",MAILER POSTAGE,N,,,,,,,,,,LINDA HARMON,HOUSE DISTRICT 29,REP,STATE REPRESENTATIVE DISTRICT 29
