district,party,amount
SENATE DISTRICT 9,REP,245950.04
SENATE DISTRICT 11,REP,208066.86
HOUSE DISTRICT 76,REP,168682.00
SENATE DISTRICT 34,REP,164565.60
SENATE DISTRICT 43,REP,163502.13
SENATE DISTRICT 12,REP,149994.00
SENATE DISTRICT 42,REP,147478.39
HOUSE DISTRICT 55,REP,129884.37
HOUSE DISTRICT 53,REP,124837.96
HOUSE DISTRICT 69,REP,108567.31
HOUSE DISTRICT 13,REP,102063.06
HOUSE DISTRICT 29,REP,96468.28
HOUSE DISTRICT 85,REP,93791.76
HOUSE DISTRICT 21,REP,90799.35
SENATE DISTRICT 14,REP,89002.22
SENATE DISTRICT 19,REP,78863.95
HOUSE DISTRICT 52,REP,74267.35
HOUSE DISTRICT 17,REP,74088.95
HOUSE DISTRICT 90,REP,73555.20
SENATE DISTRICT 18,REP,71660.00
HOUSE DISTRICT 67,REP,54309.04
HOUSE DISTRICT 86,REP,54081.17
HOUSE DISTRICT 68,REP,51526.29
HOUSE DISTRICT 28,REP,51422.41
HOUSE DISTRICT 20,REP,31109.42
SENATE DISTRICT 1,REP,26277.08
HOUSE DISTRICT 49,REP,20340.00
HOUSE DISTRICT 40,REP,16359.00
HOUSE DISTRICT 34,REP,15756.00
HOUSE DISTRICT 6,REP,14922.00
SENATE DISTRICT 25,REP,12367.55
HOUSE DISTRICT 84,REP,10299.06
SENATE DISTRICT 8,DEM,4866.25
HOUSE DISTRICT 19,REP,1320.00
1ST CONGRESSIONAL,REP,735.30
HOUSE DISTRICT 23,REP,331.50
HOUSE DISTRICT 7,REP,331.50
PUBLIC SERVICE COMMISSIONER DISTRICT 5,REP,171.25
HOUSE DISTRICT 4,REP,36.50
